Date,File Path,Keywords Found
5-August-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/5-August-1985_Lok Sabha Debates.pdf,sex
14-August-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/14-August-1985_Lok Sabha Debates.pdf,drugs
13-August-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/13-August-1985_Lok Sabha Debates.pdf,drugs
20-August-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/20-August-1985_Lok Sabha Debates.pdf,drugs
16-August-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/16-August-1985_Lok Sabha Debates.pdf,drugs
23-August-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/23-August-1985_Lok Sabha Debates.pdf,drugs
20-November-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/20-November-1985_Lok Sabha Debates.pdf,No keywords found
12-August-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/12-August-1985_Lok Sabha Debates.pdf,No keywords found
18-November-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/18-November-1985_Lok Sabha Debates.pdf,drugs
29-November-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/29-November-1985_Lok Sabha Debates.pdf,drugs
21-November-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/21-November-1985_Lok Sabha Debates.pdf,"abortion, drugs, sex"
26-November-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/26-November-1985_Lok Sabha Debates.pdf,drugs
19-August-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/19-August-1985_Lok Sabha Debates.pdf,"drugs, sex"
28-November-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/28-November-1985_Lok Sabha Debates.pdf,"abortion, drugs"
4-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/4-December-1985_Lok Sabha Debates.pdf,drugs
22-November-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/22-November-1985_Lok Sabha Debates.pdf,"drugs, sex"
20-February-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/20-February-1986_Lok Sabha Debates.pdf,No keywords found
27-February-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/27-February-1986_Lok Sabha Debates.pdf,No keywords found
3-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/3-December-1985_Lok Sabha Debates.pdf,drugs
6-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/6-December-1985_Lok Sabha Debates.pdf,drugs
3-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/3-March-1986_Lok Sabha Debates.pdf,No keywords found
25-November-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/25-November-1985_Lok Sabha Debates.pdf,drugs
2-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/2-December-1985_Lok Sabha Debates.pdf,"drugs, sex"
